username,created_at,text
xiaoyibo17,2024-08-30 04:36:05+00:00,@gucci XiaoZhan for gucci ❤❤❤ https://t.co/UszjLA7XWy
MichaelFra57680,2024-08-30 04:23:23+00:00,@gucci Does he go out of his way to help you or do favors for you?
lovexzDAYTOY,2024-08-30 03:58:56+00:00,@gucci love Xiaozhan😍
sg_wendi,2024-08-30 03:58:14+00:00,@gucci Cool as a cucumber #XiaoZhan in Gucci's spring-summer 2025 collection #GucciSS25 🥰
acura2332,2024-08-30 03:49:02+00:00,"@gucci Global Brand Ambassador #XiaoZhan appeared on the cover of the September issue of ""ELLE World Fashion Garden"" wearing #GucciSS25  Series.
#XiaoZhanxGucci"
xzgiegie,2024-08-30 03:48:46+00:00,@gucci handsome guy &lt;3
Sofia12211105,2024-08-30 03:42:16+00:00,@gucci 肖战好帅
acura2332,2024-08-30 03:41:14+00:00,"@gucci Global Brand Ambassador #XiaoZhan appeared on the cover of the September issue of ""ELLE World Fashion Garden"" wearing #GucciSS25  Series.#XiaoZhanxGucci"
JazminMaite2,2024-08-30 03:24:11+00:00,@gucci Yo solamente pido unas fotos de zhan y Jin juntos porfavor cumplinos el sueño de todas
xztwit8,2024-08-30 03:02:19+00:00,"@gucci global brand ambassador Xiao Zhan looks so amazing in #Gucci by Creative Director Sabato  De Sarno.
#XiaoZhan"
Aimee03397154,2024-08-30 02:23:21+00:00,@gucci xiaozhan 😍 love u
Monica6Wong,2024-08-30 02:00:31+00:00,@gucci Xiao Zhan is so handsome #XiaoZhan
xz1005200359410,2024-08-30 01:43:35+00:00,@gucci Love Xiaozhan 🥰🥰🥰🥰🥰
momo1543451,2024-08-30 01:39:00+00:00,@gucci 😍
Smllm9,2024-08-30 00:55:41+00:00,"@gucci #XiaoZhan 
#XiaoZhanxGucci https://t.co/103tP9Vwkx"
mikaren306,2024-08-30 00:28:59+00:00,@gucci #XiaoZhan 😘 #XiaoZhanxGucci 😘 #GucciSS25 😘 #XiaozhanxELLESep24 😘#ELLECHINA https://t.co/AiHEndHEgn
hiwixiofixi1,2024-08-30 00:14:46+00:00,@gucci Xiao Zhan❤️❤️❤️#GucciSS25
Thupham127,2024-08-30 00:13:22+00:00,@gucci So amazing😍 #XiaoZhan is so handsome and stylish with @gucci https://t.co/Kldu8InPi0
pondkungZz,2024-08-30 00:01:45+00:00,@gucci @nutchan17133363 ❤️‍🔥❤️‍🔥
Sriwahy64732729,2024-08-29 23:55:20+00:00,@gucci Global brand ambassador #XiaoZhan  tampil di majalah ELLE mengenakan #GucciSS25  😍😍 https://t.co/GjKEVkcJHj
JianzhiJ,2024-08-29 23:30:30+00:00,@gucci 😘😘😘
CPEeig7RoaQfrF8,2024-08-29 23:21:51+00:00,@gucci So handsome!😍🙌🏻❤️ https://t.co/uqPFiQQ5T6
CPEeig7RoaQfrF8,2024-08-29 23:20:28+00:00,@gucci You can do anything you set your mind to，man.❤️🙌🏻 https://t.co/7KN5T4OIfJ
CPEeig7RoaQfrF8,2024-08-29 23:19:11+00:00,@gucci King！Daddy!😍 https://t.co/L1ow59vBfz
LizTatianaF,2024-08-29 23:15:58+00:00,@gucci OMG!!!! He's so handsome! 😍😍😍😍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🫠🫠🫠
christfarmtree,2024-08-29 23:13:08+00:00,@gucci #xiaozhan #XiaoZhanxGucci #XiaoZhanELLE24 love this campaign
Orangejxx,2024-08-29 23:12:10+00:00,@gucci https://t.co/r2ywYGpunw
Orangejxx,2024-08-29 23:11:52+00:00,@gucci Zhan Zhan! #xiaozhan #XiaoZhanxGucci #XiaoZhanELLE24
JLu693473965861,2024-08-29 22:43:44+00:00,@gucci Global Brand Ambassador #XiaoZhan wears #GucciSS25
Violet438149656,2024-08-29 20:55:53+00:00,@gucci Woow!
tryfirst666,2024-08-29 20:25:15+00:00,@gucci Global Brand Ambassador #XiaoZhan wears #GucciSS25 https://t.co/VYYkLhdZ1O
MS54830351,2024-08-29 20:15:50+00:00,@gucci ❤️❤️❤️ #XiaoZhan #XiaoZhanxGucci #GucciSS25
zhan4ever,2024-08-29 20:05:08+00:00,"@gucci Global Brand Ambassador #XiaoZhan just has what it takes to make the new Gucci Collection look most stylish and valuable! He looks breathtakingly handsome wearing @Gucci 
What an amazing Global Brand Ambassador!
#XiaoZhanxGucci"
penny61667257,2024-08-29 19:34:52+00:00,@gucci 🥰🥰🥰🥰😘😘😘😘😘
GT3r3zagg,2024-08-29 19:34:09+00:00,@gucci Que guapo muchachito🥰!! Hermoso y lindo gracias x invitar a este gran actor y cantante #xiaozhan 🐰
Catherine_qdd,2024-08-29 19:30:40+00:00,"@gucci Gucci global brand ambassador Xiao Zhan is really handsome and elegant.❤️❤️Xiao Zhan looks so sexy in super-season suit. 🌹🌹🌹I love Xiao Zhan so much😘😘Xiao Zhan is my superstar.🥰@xz_1991x
#XiaoZhan #Gucci #GucciSS25"
LindaLe37964383,2024-08-29 19:30:21+00:00,@gucci Class and style! So wonderful to see Xiao Zhan on Elle China with Gucci!
analuciazen,2024-08-29 19:05:19+00:00,@gucci Xiao Zhan looks so gorgeous wearing Gucci! ❤️❤️❤️
pacarlinojiung,2024-08-29 18:57:50+00:00,@gucci btw ini tampilan X terbaru kah? fotonya udah ga jejer kanan kiri ya? https://t.co/VDv312T0nM
lollipops80,2024-08-29 18:57:49+00:00,@gucci XiaoZhan is so attractive and iconically stunning! #XiaoZhan https://t.co/fKU0m5pBXF
lkrn90318152,2024-08-29 18:42:42+00:00,@gucci This is my boyfriend😘😘😘 https://t.co/r7nexJlo1g
lkrn90318152,2024-08-29 18:41:14+00:00,@gucci @BZanilla OMG😍😍😍😍
_vapor_trail,2024-08-29 18:25:53+00:00,@gucci 😍😍😍😍😍😍😍😍😍 https://t.co/XZlwGsiuAN
Susanliuchunyan,2024-08-29 18:16:28+00:00,@gucci #XiaoZhan https://t.co/nlbhi6R5oz
YuQiong9105,2024-08-29 18:07:33+00:00,@gucci So cool
